20221017	10:58:32	941295c9-1721-482a-b8cc-5cfa71908bd5	POST	undefined	/auth
20221017	10:58:36	6082aa32-0c19-4f02-b36b-75a3914369a6	POST	undefined	/logout
20221017	10:59:30	59dbcc6e-fc13-488e-8b81-0ed46e5b0a46	GET	undefined	/refresh
20221017	11:06:48	ffde91e8-cbc6-4808-857e-aadc1bd90321	POST	undefined	/auth
20221017	11:06:51	d4417faf-6874-4b53-9ef4-56f0c589a869	POST	undefined	/logout
20221017	11:07:13	827b2622-f4af-44be-8300-e387f21a07b5	POST	undefined	/auth
20221017	11:07:17	3e39d8d8-b135-4380-9d3e-68b34881f194	POST	undefined	/logout
20221017	11:08:03	84f31ebb-127b-42f1-9aa9-9e169153b192	POST	undefined	/auth
20221017	11:08:06	807a6a7e-8417-413b-8249-a8d1b4cfbced	GET	undefined	/logout
20221017	11:47:23	62ab2a26-aa6a-4dc1-9e74-a8aad0087423	POST	undefined	/auth
20221017	11:47:42	4d39e719-976f-40ca-9d08-78132ee45f3d	GET	undefined	/employees
20221017	14:14:02	be6d18a0-c076-4c30-8813-c4a5fee0e35f	OPTIONS	http://localhost:3000	/auth
20221017	14:14:16	2ac60cbf-2eb3-4e67-8e5a-934cbb295322	OPTIONS	http://localhost:3000	/auth
20221017	14:14:17	cb18cdd5-db8f-4d02-b70c-b4fdcadabcad	OPTIONS	http://localhost:3000	/auth
20221017	14:16:11	a9e9d8ed-b26a-45b4-aec2-2cb12ba73288	OPTIONS	http://localhost:3000	/auth
20221017	14:16:11	c8cffa4d-339c-45b5-bbac-08e2e8d23bb5	POST	http://localhost:3000	/auth
20221017	14:16:50	354ddf31-5a6f-4015-a374-c48fe54defe8	OPTIONS	http://localhost:3000	/auth
20221017	14:16:50	8e4af5d8-db9c-42c1-bc46-504764d2cab9	POST	http://localhost:3000	/auth
20221017	14:17:46	a33f2d01-676a-405a-ac20-f6049592479b	OPTIONS	http://localhost:3000	/auth
20221017	14:17:46	348afbe6-92ae-45b6-a238-060de38b1f38	POST	http://localhost:3000	/auth
20221017	14:38:36	4abd0e26-d480-49b4-815e-8a36de7eb960	OPTIONS	http://localhost:3000	/auth
20221017	14:38:36	2269b4c5-c8ff-484a-b0e6-d5adeb999fb6	POST	http://localhost:3000	/auth
20221017	14:42:12	9598ee8d-a02d-4c1c-b36c-9a4e58e9a4f6	OPTIONS	http://localhost:3000	/auth
20221017	14:42:12	21421dc0-c11d-413f-b4b9-d36329b095be	POST	http://localhost:3000	/auth
20221017	14:42:47	44ff9c18-0d2d-4215-a947-b6e1d7aeb48a	OPTIONS	http://localhost:3000	/auth
20221017	14:42:47	d8796277-9978-4dc8-8e12-4aebd51051a9	POST	http://localhost:3000	/auth
20221017	19:54:13	62e28d95-cdac-4c38-ad23-653c30a79fad	OPTIONS	http://localhost:3000	/auth
20221017	19:54:13	99628fa7-d921-4fba-bd07-69f7349f2f34	POST	http://localhost:3000	/auth
20221017	20:27:58	0a9a2891-2e92-490d-b060-70d34d122309	OPTIONS	http://localhost:3000	/auth
20221017	20:27:58	1fb6aac9-693c-4878-a0d1-0425e82ed658	POST	http://localhost:3000	/auth
20221017	20:32:59	ace5c861-6341-4ea2-9768-c541d064c9e8	POST	undefined	/auth
20221017	20:33:49	7706b8e0-fe19-406e-b3a3-6e9c752c5e34	OPTIONS	http://localhost:3000	/auth
20221017	20:33:49	dab2a7ce-00f9-4b71-a351-6844705009d9	POST	http://localhost:3000	/auth
20221017	20:34:07	c8d825dd-2d7d-4cc0-b7a4-692f79c66b07	OPTIONS	http://localhost:3000	/auth
20221017	20:34:07	56ccf1a7-6e64-431d-90c1-e80190f06912	POST	http://localhost:3000	/auth
20221017	20:36:36	4087037d-64d7-4da7-85b2-cc81786f85e2	OPTIONS	http://localhost:3000	/auth
20221017	20:36:36	9bbf0bbd-2cd2-4fe3-9e8a-81ba9face641	POST	http://localhost:3000	/auth
20221017	20:49:54	0efcd3a4-caec-4622-a429-4570e2ec5fc7	OPTIONS	http://localhost:3000	/auth
20221017	20:49:54	55deab0c-6f2f-45c4-acce-0816f7ee48f7	POST	http://localhost:3000	/auth
